Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1,Counties,New York Zip Codes,NYS Municipal Boundaries
MALONE (CALL FIREMAN) FIRE DEPT,17010,37 FINNY BLVD PO BOX 412,MALONE,NY,12953,17,Franklin,5184834853,44.847719,-74.300844,"{'longitude': '-74.300844', 'latitude': '44.847719'}",621,278,191
MALTA RIDGE FIRE DEPARTMENT,46017,31 COLLAMER DRIVE,MALTA,NY,12020,46,Saratoga,5185846155,43.01069,-73.788872,"{'longitude': '-73.788872', 'latitude': '43.01069'}",2141,1148,
MALVERNE FIRE DEPARTMENT,30037,30 BROADWAY,MALVERNE,NY,11565,30,Nassau,5165998281,40.673257,-73.673563,"{'longitude': '-73.673563', 'latitude': '40.673257'}",2094,1567,54
MAMARONECK (TOWN) FIRE DEPT,60026,205 WEAVER STREET,LARCHMONT,NY,10538,60,Westchester,9148342101,40.940445,-73.755921,"{'longitude': '-73.755921', 'latitude': '40.940445'}",2185,1256,980
MAMARONECK VILLAGE FIRE DEPT,60027,PO BOX 8,MAMARONECK,NY,10543,60,Westchester,9147777775,40.95425,-73.73272,"{'longitude': '-73.73272', 'latitude': '40.95425'}",2185,1258,955
MANCHESTER FIRE DEPARTMENT,35017,3808 DEWEY ROAD,SHORTSVILLE,NY,14548,35,Ontario,7162893022,42.96955,-77.228717,"{'longitude': '-77.228717', 'latitude': '42.96955'}",2133,317,812
MANHASSET-LAKEVILLE FIRE DEPT,30038,170 E SHORE ROAD,GREAT NECK,NY,10023,30,Nassau,5164664435,40.7958,-73.69006,"{'longitude': '-73.69006', 'latitude': '40.7958'}",2094,868,67
MANLIUS FIRE DEPARTMENT,34028,4 STICKLEY DR PO BOX 236,MANLIUS,NY,13104,34,Onondaga,3156828318,43.002049,-75.98375,"{'longitude': '-75.98375', 'latitude': '43.002049'}",2132,643,508
MANNSVILLE FIRE DEPARTMENT,23029,310 S MAIN ST PO BOX 460,MANNSVILLE,NY,13661,23,Jefferson,3154657000,43.71825,-76.10882,"{'longitude': '-76.10882', 'latitude': '43.71825'}",2089,1584,855
MANORVILLE FIRE DEPARTMENT,52062,16 SILAS CARTER ROAD,MANORVILLE,NY,11949,52,Suffolk,6318786614,40.859741,-72.808502,"{'longitude': '-72.808502', 'latitude': '40.859741'}",2179,1607,
MANSFIELD FIRE DEPARTMENT,05017,RFD 1 BOX 69 MAPLES,LITTLE VALLEY,NY,14755,05,Cattaraugus,7166995401,42.333312,-78.735397,"{'longitude': '-78.735397', 'latitude': '42.333312'}",2034,1729,352
MAPLE SPRINGS FIRE DEPARTMENT,07029,PO BOX D  5385 MAPLE SPG,MAPLE SPRINGS,NY,14756,07,Chautauqua,7163862114,42.19681,-79.42209,"{'longitude': '-79.42209', 'latitude': '42.19681'}",2035,1730,225
MAPLEWOOD FIRE DEPARTMENT,01019,61 COHOES ROAD,WATERVLIET,NY,12189,01,Albany,5182731200,42.746005,-73.700941,"{'longitude': '-73.700941', 'latitude': '42.746005'}",2030,19,808
MARATHON FIRE DEPARTMENT,12006,PECK AVENUE PO BOX 488,MARATHON,NY,13803,12,Cortland,6078496157,42.440357,-76.034838,"{'longitude': '-76.034838', 'latitude': '42.440357'}",620,436,765
MARBLETOWN FIRE DEPARTMENT,56023,535 N MARBLETOWN ROAD,KINGSTON,NY,12401,56,Ulster,,41.884448,-74.112634,"{'longitude': '-74.112634', 'latitude': '41.884448'}",2182,79,439
MARBLETOWN FIRE DEPARTMENT,59030,6416 SILVERHILL ROAD,NEWARK,NY,14513,59,Wayne,3153314841,43.020272,-77.073083,"{'longitude': '-77.073083', 'latitude': '43.020272'}",631,324,652
MARCELLUS VOLUNTEER FIRE DEPT,34029,PO BOX 186,MARCELLUS,NY,13108,34,Onondaga,3156731818,42.9825,-76.33878,"{'longitude': '-76.33878', 'latitude': '42.9825'}",2132,644,504
MARGARETVILLE FIRE DEPARTMENT,13019,77 CHURCH ST PO BOX 201,MARGARETVILLE,NY,12455,13,Delaware,9145862801,42.16697,-74.63317,"{'longitude': '-74.63317', 'latitude': '42.16697'}",2039,249,570
MARIAVILLE VOL FIRE DEPT,47012,9284 MARIAVILLE ROAD,PATTERSONVILLE,NY,12137,47,Schenectady,5188645793,42.831784,-74.140579,"{'longitude': '-74.140579', 'latitude': '42.831784'}",2142,1304,123
MARILLA FIRE DEPARTMENT,15057,1950 WEST AVE PO BOX 124,MARILLA,NY,14102,15,Erie,7166521080,42.84178,-78.55531,"{'longitude': '-78.55531', 'latitude': '42.84178'}",2041,933,163
MARION FIRE DEPARTMENT,59010,3786 MILL ST PO BOX 1,MARION,NY,14505,59,Wayne,3159264341,43.14258,-77.18948,"{'longitude': '-77.18948', 'latitude': '43.14258'}",631,318,640
MARLBORO FIRE DEPARTMENT,56024,PO BOX 223   14 GRAND ST,MARLBORO,NY,12542,56,Ulster,9142364121,41.605543,-73.974575,"{'longitude': '-73.974575', 'latitude': '41.605543'}",2182,980,437
MARTINSBURG FIRE DEPARTMENT,25010,PO BOX 353,MARTINSBURG,NY,13404,25,Lewis,3153760307,,,,,,
MASONVILLE FIRE DEPARTMENT,13020,15488 ST HWY 8 PO BOX 362,MASONVILLE,NY,13804,13,Delaware,6072653524,42.2148,-75.3705,"{'longitude': '-75.3705', 'latitude': '42.2148'}",2039,437,545
MASSAPEQUA FIRE DEPARTMENT,30039,ONE BROOKLYN AVENUE,MASSAPEQUA,NY,11758,30,Nassau,5167989849,,,,,,
MASSENA VOLUNTEER FIRE DEPT,45023,PO BOX 6411,MASSENA,NY,13662,45,St. Lawrence,3157692380,44.92793,-74.89179,"{'longitude': '-74.89179', 'latitude': '44.92793'}",2140,1585,328
MASTIC BEACH FIRE DEPARTMENT,52064,NEIGHBORHOOD RD PO BOX 483,MASTIC BEACH,NY,11951,52,Suffolk,6312819840,,,,,,
MASTIC FIRE DEPARTMENT,52063,1080 MASTIC ROAD,MASTIC,NY,11950,52,Suffolk,6312812022,40.802406,-72.840645,"{'longitude': '-72.840645', 'latitude': '40.802406'}",2179,1608,
MATTITUCK FIRE DEPARTMENT,52065,1000 PIKE STREET PO BOX 136,MATTITUCK,NY,11952,52,Suffolk,6312988833,40.993126,-72.533402,"{'longitude': '-72.533402', 'latitude': '40.993126'}",2179,1635,
MATTYDALE FIRE DEPARTMENT,34030,173 EAST MOLLOY ROAD,MATTYDALE,NY,13211,34,Onondaga,3154540090,43.097977,-76.141988,"{'longitude': '-76.141988', 'latitude': '43.097977'}",2132,729,705
MAYBROOK ENGINE COMPANY NO 1,36024,204 WALLACE AVENUE,MAYBROOK,NY,12543,36,Orange,8454279995,41.481924,-74.218617,"{'longitude': '-74.218617', 'latitude': '41.481924'}",2134,981,894
MAYFIELD FIRE DEPARTMENT,18008,PO BOX 722,MAYFIELD,NY,12117,18,Fulton,5186615611,43.101903,-74.262044,"{'longitude': '-74.262044', 'latitude': '43.101903'}",2085,1291,388
MAYNARD FIRE DEPARTMENT,33019,PO BOX 377,MARCY,NY,13403,33,Oneida,3157328181,43.136575,-75.259185,"{'longitude': '-75.259185', 'latitude': '43.136575'}",625,574,923
MAYVILLE FIRE DEPARTMENT,07030,1 S ERIE ST PO BOX 2,MAYVILLE,NY,14757,07,Chautauqua,7167532322,42.253905,-79.504809,"{'longitude': '-79.504809', 'latitude': '42.253905'}",2035,1731,213
MC CONNELLSVILLE FIRE DEPT,33020,PO BOX 39,MC CONNELLSVILLE,NY,13401,33,Oneida,3152454621,43.273584,-75.693793,"{'longitude': '-75.693793', 'latitude': '43.273584'}",625,766,973
MC DONOUGH FIRE DEPARTMENT,09010,PO BOX 99,MC DONOUGH,NY,13801,09,Chenango,6076475308,42.50227,-75.77655,"{'longitude': '-75.77655', 'latitude': '42.50227'}",2037,434,272
MC GRAW FIRE DEPARTMENT,12007,7 W CENTER ST PO BOX 717,MC GRAW,NY,13101,12,Cortland,6078364123,42.594523,-76.09568,"{'longitude': '-76.09568', 'latitude': '42.594523'}",620,640,783
MC KOWNVILLE FIRE DEPARTMENT,01020,1250 WESTERN AVENUE,ALBANY,NY,12203,01,Albany,5184894340,42.67876,-73.830528,"{'longitude': '-73.830528', 'latitude': '42.67876'}",2030,40,806
MC LEAN FIRE DEPARTMENT,55012,2 STEVENS ROAD,MCLEAN,NY,13102,55,Tompkins,6078383700,42.552105,-76.29132,"{'longitude': '-76.29132', 'latitude': '42.552105'}",2181,622,720
MEADOWMERE PARK FIRE DEPARTMENT,30040,EAST & MEYER AVENUES,LAWRENCE,NY,11559,30,Nassau,5162393088,40.61501,-73.73055,"{'longitude': '-73.73055', 'latitude': '40.61501'}",2094,1563,54
MECHANICSTOWN FIRE DEPARTMENT,36027,22 VICTORY STREET,MIDDLETOWN,NY,10940,36,Orange,8453420821,41.442938,-74.400017,"{'longitude': '-74.400017', 'latitude': '41.442938'}",2134,1540,887
MECHANICVILLE FIRE DEPARTMENT,46018,36 NORTH MAIN STREET,MECHANICVILLE,NY,12118,46,Saratoga,5186648188,42.903881,-73.685519,"{'longitude': '-73.685519', 'latitude': '42.903881'}",2141,1292,
MECKLENBURG VOL FIRE COMPANY,49003,PO BOX 108,MECKLENBURG,NY,14863,49,Schuyler,6073875644,42.450703,-76.71029,"{'longitude': '-76.71029', 'latitude': '42.450703'}",2143,1752,661
MECO FIRE DEPARTMENT,18009,1600 STATE HWAY 29A,GLOVERSVILLE,NY,12078,18,Fulton,5187251173,43.054883,-74.378957,"{'longitude': '-74.378957', 'latitude': '43.054883'}",2085,1227,389
MEDFORD FIRE DEPARTMENT,52066,171 OREGON AVENUE,MEDFORD,NY,11763,52,Suffolk,6314752865,40.815875,-72.998537,"{'longitude': '-72.998537', 'latitude': '40.815875'}",2179,1313,
MEDINA FIRE DEPARTMENT,37011,600 MAIN STREET,MEDINA,NY,14103,37,Orleans,5857981661,43.21905,-78.386953,"{'longitude': '-78.386953', 'latitude': '43.21905'}",626,934,505
MEDUSA FIRE DEPARTMENT,01018,458 CR 351,MEDUSA,NY,12120,01,Albany,5182396006,42.436845,-74.12705,"{'longitude': '-74.12705', 'latitude': '42.436845'}",2030,1293,834
MEDWAY-GRAPEVILLE FIRE DEPT,20019,522 SODOM RD PO BOX 89,CLIMAX,NY,12087,20,Greene,5187318527,42.39509,-73.88342,"{'longitude': '-73.88342', 'latitude': '42.39509'}",2087,1177,764
MELLENVILLE FIRE DEPARTMENT,11022,33 COUNTY RT 9,MELLENVILLE,NY,12544,11,Columbia,5186727014,42.25193,-73.66104,"{'longitude': '-73.66104', 'latitude': '42.25193'}",619,1000,7
MELROSE FIRE DEPARTMENT,42020,PO BOX 34,MELROSE,NY,12121,42,Rensselaer,5182359860,42.83716,-73.58102,"{'longitude': '-73.58102', 'latitude': '42.83716'}",2138,1294,131
MELVILLE FIRE DEPARTMENT,52067,531 SWEETHOLLOW ROAD,MELVILLE,NY,11747,52,Suffolk,6314232635,40.790147,-73.41725,"{'longitude': '-73.41725', 'latitude': '40.790147'}",2179,1122,
MEMPHIS FIRE DEPARTMENT,34031,PO BOX 38,MEMPHIS,NY,13112,34,Onondaga,3156893359,43.084042,-76.376164,"{'longitude': '-76.376164', 'latitude': '43.084042'}",2132,656,700
MENANDS FIRE DEPARTMENT,01021,250 BROADWAY,MENANDS,NY,12204,01,Albany,5184639494,42.68282,-73.73486,"{'longitude': '-73.73486', 'latitude': '42.68282'}",2030,41,808
MENDON FIRE DEPARTMENT,28025,101 MENDON-IONIA RD POB 184,MENDON,NY,14506,28,Monroe,7166241738,42.95744,-77.59882,"{'longitude': '-77.59882', 'latitude': '42.95744'}",2093,242,549
MERIDALE FIRE DEPARTMENT,13021,50 COUNTY HIGHWAY 10,MERIDALE,NY,13806,13,Delaware,6077467180,,,,,,
MERIDIAN FIRE DEPARTMENT,06013,11375 FERRIS ROAD,MERIDIAN,NY,13113,06,Cayuga,3156263167,43.169435,-76.53723,"{'longitude': '-76.53723', 'latitude': '43.169435'}",618,352,86
MERRICK FIRE DEPARTMENT,30041,2075 MEADOWBRK RD POB 235,MERRICK,NY,11566,30,Nassau,5162231501,40.67159,-73.55535,"{'longitude': '-73.55535', 'latitude': '40.67159'}",2094,1568,54
MEXICO FIRE DEPARTMENT,38014,PO BOX 27,MEXICO,NY,13114,38,Oswego,3159637494,43.459651,-76.230414,"{'longitude': '-76.230414', 'latitude': '43.459651'}",2135,658,254
MIDDLEBURGH FIRE DEPARTMENT,48012,127 RAILROAD AVE PO BOX 778,MIDDLEBURGH,NY,12122,48,Schoharie,5188275277,42.599755,-74.332807,"{'longitude': '-74.332807', 'latitude': '42.599755'}",629,1295,154
MIDDLE FALLS FIRE DEPARTMENT,58016,1034 STATE RT 29 PO BOX 8,MIDDLE FALLS,NY,12848,58,Washington,5186922021,43.1008,-73.52434,"{'longitude': '-73.52434', 'latitude': '43.1008'}",2184,96,664
MIDDLEFIELD VOLUNTEER FIRE DEPT,39011,3666 COUNTY HWY 35,MIDDLEFIELD,NY,13450,39,Otsego,6075475664,42.69794,-74.81601,"{'longitude': '-74.81601', 'latitude': '42.69794'}",2136,1368,909
MIDDLE GRANVILLE FIRE DEPARTMENT,58017,1394 ROUTE 24,MIDDLE GRANVILLE,NY,12849,58,Washington,5186429398,43.44351,-73.29882,"{'longitude': '-73.29882', 'latitude': '43.44351'}",2184,131,669
MIDDLE HOPE FIRE DEPARTMENT,36025,PO BOX 712,NEWBURGH,NY,12550,36,Orange,8455654068,41.538359,-74.013016,"{'longitude': '-74.013016', 'latitude': '41.538359'}",2134,987,891
MIDDLE ISLAND FIRE DEPARTMENT,52068,31 ARNOLD DRIVE & RTE 25,MIDDLE ISLAND,NY,11953,52,Suffolk,6319243116,40.878997,-72.967751,"{'longitude': '-72.967751', 'latitude': '40.878997'}",2179,1636,
MIDDLEPORT FIRE DEPARTMENT,32010,28 MAIN ST PO  BOX 94,MIDDLEPORT,NY,14105,32,Niagara,7167357872,,,,,,
MIDDLESEX HOSE COMPANY,62008,5537 WATER STREET,MIDDLESEX,NY,14507,62,Yates,5853930041,42.705097,-77.27239,"{'longitude': '-77.27239', 'latitude': '42.705097'}",2225,320,106
MIDDLETOWN FIRE DEPARTMENT,36026,81 EAST MAIN STREET,MIDDLETOWN,NY,10940,36,Orange,8453434169,41.445845,-74.41582,"{'longitude': '-74.41582', 'latitude': '41.445845'}",2134,1540,874
MIDDLEVILLE FIRE DEPARTMENT,22013,41 N MAIN ST PO BOX 536,MIDDLEVILLE,NY,13406,22,Herkimer,3158913649,43.13783,-74.92005,"{'longitude': '-74.92005', 'latitude': '43.13783'}",2088,377,699
MIDWAY FIRE DEPARTMENT,01022,1956 CENTRAL AVENUE,ALBANY,NY,12205,01,Albany,5184561993,42.739023,-73.857362,"{'longitude': '-73.857362', 'latitude': '42.739023'}",2030,42,808
MILAN FIRE DEPARTMENT,14016,900 ROUTE 199,MILAN,NY,12571,14,Dutchess,8455329911,41.968904,-73.807571,"{'longitude': '-73.807571', 'latitude': '41.968904'}",2040,1005,567
MILFORD FIRE DEPARTMENT,39012,64 S MAIN ST PO BOX 359,MILFORD,NY,13807,39,Otsego,6072869492,42.58937,-74.97411,"{'longitude': '-74.97411', 'latitude': '42.58937'}",2136,447,919
MILLBROOK FIRE DEPARTMENT,14017,20 FRONT ST PO BOX 202,MILLBROOK,NY,12545,14,Dutchess,8456773871,41.783136,-73.695661,"{'longitude': '-73.695661', 'latitude': '41.783136'}",2040,982,607
MILLER HOSE FIRE DEPARTMENT,32011,2737 MAIN STREET,NEWFANE,NY,14108,32,Niagara,7167788770,43.282479,-78.708061,"{'longitude': '-78.708061', 'latitude': '43.282479'}",2131,936,172
MILLER PLACE FIRE DEPARTMENT,52069,PO BOX 5590,MILLER PLACE,NY,11764,52,Suffolk,6314732202,40.950671,-72.991569,"{'longitude': '-72.991569', 'latitude': '40.950671'}",2179,1314,
MILLERTON FIRE DEPARTMENT,14018,24 CENTURY BLVD PO BOX 733,MILLERTON,NY,12546,14,Dutchess,9147893215,41.954123,-73.507432,"{'longitude': '-73.507432', 'latitude': '41.954123'}",2040,983,599
MILLGROVE FIRE DEPARTMENT,15059,11621 GENESEE ST,ALDEN,NY,14004,15,Erie,7169377612,42.943625,-78.55488,"{'longitude': '-78.55488', 'latitude': '42.943625'}",2041,481,309
MILLPORT FIRE DEPARTMENT,08011,2016 CRESCENT ST  PO BOX A,MILLPORT,NY,14864,08,Chemung,6077391030,42.265533,-76.835538,"{'longitude': '-76.835538', 'latitude': '42.265533'}",2036,52,478
MILLWOOD FIRE COMPANY NO 1,60028,60 MILLWOOD ROAD PO BOX 519,MILLWOOD,NY,10546,60,Westchester,9142382222,41.19715,-73.79596,"{'longitude': '-73.79596', 'latitude': '41.19715'}",2185,1325,964
MILTON EAGLES VOL FIRE DEPT,46024,PO BOX 72,ROCK CITY FALLS,NY,12863,46,Saratoga,5188857694,43.060969,-73.916966,"{'longitude': '-73.916966', 'latitude': '43.060969'}",2141,144,1000
MILTON FIRE DEPARTMENT,56025,PO BOX 313,MILTON,NY,12547,56,Ulster,8457952355,41.64497,-73.98851,"{'longitude': '-73.98851', 'latitude': '41.64497'}",2182,984,437
MINEOLA FIRE DEPARTMENT,30042,171 JERICHO TPKE,MINEOLA,NY,11501,30,Nassau,5167475860,40.748679,-73.642357,"{'longitude': '-73.642357', 'latitude': '40.748679'}",2094,1265,67
MINERVA FIRE DEPARTMENT,16028,ROUTE 28N PO BOX 102,OLMSTEDVILLE,NY,12857,16,Essex,5182513333,43.780381,-73.971037,"{'longitude': '-73.971037', 'latitude': '43.780381'}",2084,133,452
MINETTO VOLUNTEER FIRE DEPT,38015,PO BOX 99,MINETTO,NY,13115,38,Oswego,3153437566,43.398805,-76.477454,"{'longitude': '-76.477454', 'latitude': '43.398805'}",2135,659,253
MINEVILLE-WITHERBEE FIRE DEPT,16013,112 RAYMOND WRIGHT AVENUE,MINEVILLE,NY,12956,16,Essex,5189427126,44.087461,-73.524848,"{'longitude': '-73.524848', 'latitude': '44.087461'}",2084,280,451
MINOA FIRE DEPARTMENT,34032,238 N MAIN ST PO BOX 104,MINOA,NY,13116,34,Onondaga,3156569204,43.077311,-76.000746,"{'longitude': '-76.000746', 'latitude': '43.077311'}",2132,660,508
MODENA FIRE DEPARTMENT,56026,RTE 32  PO BOX 73,MODENA,NY,12548,56,Ulster,8458836937,41.6605,-74.10729,"{'longitude': '-74.10729', 'latitude': '41.6605'}",2182,985,426
MOHAWK FIRE DEPARTMENT,22014,28 COLUMBIA ST PO BOX 261,MOHAWK,NY,13407,22,Herkimer,3158664350,42.9681,-74.97035,"{'longitude': '-74.97035', 'latitude': '42.9681'}",2088,1269,697
MOHEGAN LAKE FIRE DEPARTMENT,60029,1975 E MAIN ST PO BOX 162,LAKE MOHEGAN,NY,10547,60,Westchester,9145281808,41.31865,-73.84883,"{'longitude': '-73.84883', 'latitude': '41.31865'}",2185,1326,949
MOIRA FIRE DEPARTMENT,17012,2340 COUNTY RT 5 PO BOX 122,MOIRA,NY,12957,17,Franklin,5185296010,44.81564,-74.56561,"{'longitude': '-74.56561', 'latitude': '44.81564'}",621,281,190
MONROE FIRE DEPARTMENT,36028,526 ROUTE 17M,MONROE,NY,10950,36,Orange,8457836791,41.320892,-74.181403,"{'longitude': '-74.181403', 'latitude': '41.320892'}",2134,1542,872
MONSEY FIRE DEPARTMENT,44007,16 GROVE ST  PO BOX 41,MONSEY,NY,10952,44,Rockland,8453562611,41.111055,-74.070945,"{'longitude': '-74.070945', 'latitude': '41.111055'}",628,1543,535
MONTAUK FIRE DEPARTMENT,52070,12 FLAMINGO AVENUE,MONTAUK,NY,11954,52,Suffolk,6316685695,41.049653,-71.952388,"{'longitude': '-71.952388', 'latitude': '41.049653'}",2179,1637,
MONTEREY FIRE DEPARTMENT,49004,910 DOANE ROAD,BEAVER DAMS,NY,14812,49,Schuyler,6079622261,42.27228,-76.95721,"{'longitude': '-76.95721', 'latitude': '42.27228'}",2036,1758,491
MONTEZUMA FIRE DEPARTMENT,06015,8115 HIGH ST BOX 381,MONTEZUMA,NY,13117,06,Cayuga,3157764316,43.010267,-76.703687,"{'longitude': '-76.703687', 'latitude': '43.010267'}",618,661,81
MONTGOMERY FIRE DEPARTMENT,36029,PO BOX 8,MONTGOMERY,NY,12549,36,Orange,8454573205,41.526865,-74.23532,"{'longitude': '-74.23532', 'latitude': '41.526865'}",2134,986,894
MONTICELLO FIRE COMPANY,53022,23 RICHARDSON AVENUE,MONTICELLO,NY,12701,53,Sullivan,8457946330,41.652032,-74.679054,"{'longitude': '-74.679054', 'latitude': '41.652032'}",2180,1024,668
MONTOUR FALLS FIRE DEPARTMENT,49005,111 LEE STREET PO BOX 369,MONTOUR FALLS,NY,14865,49,Schuyler,6075357265,42.3461,-76.847749,"{'longitude': '-76.847749', 'latitude': '42.3461'}",2143,53,660
MONTROSE FIRE DEPARTMENT,60030,2143 ALBANY POST ROAD,MONTROSE,NY,10548,60,Westchester,9147370354,41.25347,-73.92977,"{'longitude': '-73.92977', 'latitude': '41.25347'}",2185,1327,969
MOOERS FIRE DEPARTMENT,10016,2508 RT 11    MAIN STREET,MOOERS,NY,12958,10,Clinton,5182365311,44.95898,-73.58159,"{'longitude': '-73.58159', 'latitude': '44.95898'}",2038,282,6
MORAVIA FIRE DEPARTMENT,06014,38 KEELER AVE PO BOX 686,MORAVIA,NY,13118,06,Cayuga,3154971700,42.715114,-76.424566,"{'longitude': '-76.424566', 'latitude': '42.715114'}",618,662,79
MOREHOUSE FIRE DEPARTMENT,21007,HCR BOX 344,COLD BROOK,NY,13324,21,Hamilton,,43.47118,-74.72735,"{'longitude': '-74.72735', 'latitude': '43.47118'}",622,561,865
MORIAH FIRE DEPARTMENT,16014,630 TARBELL HILL ROAD,MORIAH,NY,12960,16,Essex,5185463749,44.046222,-73.503993,"{'longitude': '-73.503993', 'latitude': '44.046222'}",2084,284,451
MORLEY FIRE DEPARTMENT,45024,7220 CR 27,CANTON,NY,13617,45,St. Lawrence,3153868970,44.59434,-75.16331,"{'longitude': '-75.16331', 'latitude': '44.59434'}",2140,1478,345
MORRIS FIRE DEPARTMENT,39013,117 MAIN STREET,MORRIS,NY,13808,39,Otsego,6072635500,42.549736,-75.24001,"{'longitude': '-75.24001', 'latitude': '42.549736'}",2136,440,908
MORRISONVILLE FIRE DEPARTMENT,10017,PO BOX 207  1927 RTE 22B,MORRISONVILLE,NY,12962,10,Clinton,5185631112,44.694264,-73.56376,"{'longitude': '-73.56376', 'latitude': '44.694264'}",2038,286,1
MORRISTOWN FIRE DEPARTMENT,45025,200 MORRIS STREET PO BOX 4,MORRISTOWN,NY,13664,45,St. Lawrence,3153756703,44.92793,-74.89179,"{'longitude': '-74.89179', 'latitude': '44.92793'}",2140,1585,328
MORRISVILLE FIRE DEPARTMENT,27016,MAIN & UNION ST PO BOX 244,MORRISVILLE,NY,13408,27,Madison,3156843214,42.93004,-75.67398,"{'longitude': '-75.67398', 'latitude': '42.93004'}",2092,1270,149
MORTON FIRE DEPARTMENT,28026,1094 COUNTYLINE RD POB 129,MORTON,NY,14508,28,Monroe,5856598777,,,,,,
MORTONS CORNERS FIRE DEPT,15060,RD #1 MORTONS CORNERS ROAD,SPRINGVILLE,NY,14141,15,Erie,7165924665,42.5242,-78.67118,"{'longitude': '-78.67118', 'latitude': '42.5242'}",2041,5,288
MOTTVILLE FIRE COMPANY,34033,4149 FROST ST PO BOX 9,MOTTVILLE,NY,13119,34,Onondaga,3156853832,42.97443,-76.42751,"{'longitude': '-76.42751', 'latitude': '42.97443'}",2132,690,704
MOUNTAINDALE FIRE COMPANY,53023,132 MAIN STREET PO BOX 49,MOUNTAINDALE,NY,12763,53,Sullivan,8454343425,41.67051,-74.53891,"{'longitude': '-74.53891', 'latitude': '41.67051'}",2180,1083,676
MOUNTAIN VIEW FIRE DEPARTMENT,42021,2 SHAFTER AVENUE,TROY,NY,12180,42,Rensselaer,5182834530,42.704736,-73.649208,"{'longitude': '-73.649208', 'latitude': '42.704736'}",2138,11,140
MOUNT HOPE FIRE DEPARTMENT,36030,273 FINCHVILLE TPK PO BOX 23,OTISVILLE,NY,10963,36,Orange,8457425214,41.455687,-74.543886,"{'longitude': '-74.543886', 'latitude': '41.455687'}",2134,1550,893
MOUNT KISCO FIRE DEPARTMENT,60031,PO BOX 91,MOUNT KISCO,NY,10549,60,Westchester,9146664692,41.20354,-73.72512,"{'longitude': '-73.72512', 'latitude': '41.20354'}",2185,1328,978
MOUNT SINAI FIRE DEPARTMENT,52072,746 MT SINAI-CORAM RD,MOUNT SINAI,NY,11766,52,Suffolk,6314732105,40.9455,-73.021995,"{'longitude': '-73.021995', 'latitude': '40.9455'}",2179,1316,
MOUNT VERNON FIRE DEPARTMENT,60032,470 EAST LINCOLN AVENUE,MOUNT VERNON,NY,10552,60,Westchester,9146652626,40.918199,-73.822833,"{'longitude': '-73.822833', 'latitude': '40.918199'}",2185,1330,966
MOUNT VISION FIRE COMPANY,39014,179 CO HWY 11B PO BOX 551,MT VISION,NY,13810,39,Otsego,6074330997,42.61107,-75.11619,"{'longitude': '-75.11619', 'latitude': '42.61107'}",2136,442,900
MOYERS CORNERS VOL FIRE DEPT,34034,7697 MORGAN RD,LIVERPOOL,NY,13090,34,Onondaga,3156527733,43.144772,-76.207133,"{'longitude': '-76.207133', 'latitude': '43.144772'}",2132,638,713
MT MARION FIRE DEPARTMENT,56027,766 KINGS HWY PO BOX 75,MT MARION,NY,12456,56,Ulster,8452468290,42.03707,-73.99675,"{'longitude': '-73.99675', 'latitude': '42.03707'}",2182,250,427
MT MORRIS FIRE DEPARTMENT,26015,MAIN ST  PO BOX 127,MT MORRIS,NY,14510,26,Livingston,7166583130,42.72331,-77.87265,"{'longitude': '-77.87265', 'latitude': '42.72331'}",2091,321,752
MUMFORD FIRE DEPARTMENT,28027,1013 MAIN STREET PO BOX 477,MUMFORD,NY,14511,28,Monroe,7165382330,42.992798,-77.860811,"{'longitude': '-77.860811', 'latitude': '42.992798'}",2093,322,539
MUNNSVILLE FIRE DEPARTMENT,27017,5210 S MAIN ST,MUNNSVILLE,NY,13409,27,Madison,3154955401,42.99167,-75.584,"{'longitude': '-75.584', 'latitude': '42.99167'}",2092,1271,117
NANTICOKE FIRE DEPARTMENT,04023,1042 NANTICOKE ROAD,MAINE,NY,13802,04,Broome,6078623296,42.26949,-76.054809,"{'longitude': '-76.054809', 'latitude': '42.26949'}",2033,435,941
NANUET FIRE ENGINE COMPANY NO 1,44008,7 PROSPECT ST  PO BOX 356,NANUET,NY,10954,44,Rockland,8456239690,41.09686,-74.01191,"{'longitude': '-74.01191', 'latitude': '41.09686'}",628,1545,538
NAPANOCH FIRE DEPARTMENT,56028,PO BOX 321,NAPANOCH,NY,12458,56,Ulster,,41.743747,-74.369544,"{'longitude': '-74.369544', 'latitude': '41.743747'}",2182,252,423
NAPLES FIRE DEPARTMENT,35018,297 ITALY TURNPIKE,NAPLES,NY,14512,35,Ontario,7163746452,42.61358,-77.404047,"{'longitude': '-77.404047', 'latitude': '42.61358'}",2133,323,809
NARROWSBURG FIRE COMPANY,53024,203 BRIDGE ST PO BOX 184,NARROWSBURG,NY,12764,53,Sullivan,8452523328,41.60568,-75.05845,"{'longitude': '-75.05845', 'latitude': '41.60568'}",2180,1084,667
NASSAU HOSE COMPANY NO 1,42022,26 CHATHAM STREET,NASSAU,NY,12123,42,Rensselaer,5187663343,42.513996,-73.610756,"{'longitude': '-73.610756', 'latitude': '42.513996'}",2138,1296,135
